id,time,xloc,yloc,lane,length,width,type
9,2.83305,4282.5,267.6,0,4.8,5.4,small-vehicle
9,2.86638,4290.3,271.2,2,4.8,5.1,small-vehicle
9,2.89971,4288.5,270.6,2,4.5,5.1,small-vehicle
9,2.93304,4284.3,269.1,2,4.8,5.4,small-vehicle
9,2.96637,4284.6,269.7,2,5.1,5.1,small-vehicle
10,2.9997,4277.7,266.7,0,5.1,5.7,small-vehicle
10,3.03303,4286.4,270.6,2,5.1,5.1,small-vehicle
10,3.06636,4286.1,270.6,2,5.4,5.4,small-vehicle
10,3.09969,4277.1,267.0,0,5.1,5.4,small-vehicle
10,3.13302,4284.0,270.0,2,4.5,5.1,small-vehicle
10,3.16635,4272.3,265.2,0,4.8,5.7,small-vehicle
10,3.19968,4281.9,269.4,2,4.5,5.1,small-vehicle
10,3.23301,4279.2,268.8,2,4.8,5.4,small-vehicle
10,3.26634,4281.0,269.4,2,5.4,5.7,small-vehicle
10,3.29967,4273.5,267.0,2,5.4,5.7,small-vehicle
